Internal ID,Date,Document Number,Name,Currency,Amount (Foreign Currency),Amount
10008018,09/17/2019,SO51-02039,Thermacon Insulation Systems by Vertarib,USA,$203.63,203.63
10008017,09/17/2019,SO51-02038,METAL FORMED GOODS COMPANY,USA,"$4,533.78",4533.78
10006873,09/17/2019,SO54-03827,Weber Roofing,USA,"$1,334.00",1334
10006068,09/17/2019,SO55LM-00413,R & S Sheet Metal,USA,$525.60,525.6
10004791,09/17/2019,SO55LM-00412,"Campbell Roofing, Inc.",USA,"$1,181.76",1181.76
10004368,09/17/2019,SO52-04334,"MARTY ROBBINS ROOFING CO., INC",USA,"$1,122.00",1122
10004063,09/17/2019,SO54-03826,SCHAFER & COMPANY LLC,USA,$380.00,380
10003942,09/30/2019,SO54-03825,Residential Roofing : BILLINGS - RRO011,USA,"$24,100.00",24100
10003719,09/17/2019,SO54-03824,Metal Direct LLC,USA,"$1,851.90",1851.9
10003507,09/17/2019,SO51-02037,MID SOUTH METALS,USA,"$2,053.00",2053
10002981,09/17/2019,SO54-03823,Colorado Copper,USA,$173.30,173.3
10002570,09/17/2019,SO51-02036,Tyco's General Contracting,USA,"$2,182.70",2182.7
10002361,09/17/2019,SO54-03822,Division 7 Sheet Metal,USA,$475.00,475
10002148,09/17/2019,SO52-04333,"Extreme Metal Fabricators, LLC",USA,"$11,255.00",11255
10002145,09/17/2019,SO51-02035,PMH & SON METAL ROOFING,USA,$236.00,236
10001313,09/17/2019,SO52-04332,ROOF DRAINAGE COMPONENTS & ACC,USA,"$10,208.00",10208
10001311,09/17/2019,SO51-02034,RONDOUT CONTRACTING CO : KINGSTON - TCC001,USA,"$7,589.60",7589.6
10001307,09/17/2019,SO33-00196,Mazzella Inventory Company - Customer,USA,"$42,418.53",42418.53
10001303,09/17/2019,SO54-03821,THE ROOFING COMPANY,USA,"$2,705.00",2705
10001294,09/17/2019,SO52-04331,"METALQUARTERS, INC.",USA,"$2,028.84",2028.84
10001286,09/17/2019,SO52-04330,4M METALS,USA,$890.00,890
10001285,09/17/2019,SO54-03820,D&M ROOFING & SHEET METAL LLC,USA,$196.65,196.65
10001281,09/17/2019,SO54-03819,THE ROOFING COMPANY,USA,"$2,705.00",2705
10001276,09/17/2019,SO54-03818,Division 7 Sheet Metal,USA,$540.00,540
10001275,09/17/2019,SO33-00195,Mazzella Inventory Company - Customer,USA,"$52,082.50",52082.5
10001268,09/17/2019,SO54-03817,COLORADO METAL SOURCE,USA,$462.48,462.48
10001256,09/17/2019,SO54-03816,COLORADO METAL SOURCE,USA,$280.52,280.52
10001255,09/17/2019,SO52-04329,affordable metal roofing,USA,"$6,110.30",6110.3
10001031,09/17/2019,SO54-03815,COLORADO METAL SOURCE,USA,$270.78,270.78
10000928,09/17/2019,SO52-04328,HOWE CONTRACTING,USA,$640.00,640
10000704,09/17/2019,SO54-03814,300 Seamless Gutters LLC,USA,$62.47,62.47
10000374,09/17/2019,SO80-05151,Gutter Kings,USA,$114.25,114.25
10000338,09/17/2019,SO30-00041,Intercompany - Vincenzo USA,USA,"$49,724.28",49724.28
9999904,09/17/2019,SO54-03813,THE ROOFING COMPANY,USA,"$3,678.80",3678.8
9999901,09/17/2019,SO80-05150,Gulf Coast Supply,USA,$337.49,337.49
9999898,09/17/2019,SO52-04327,"METAL ROOFING SYSTEMS, INC. : CONWAY - MRSI00-10",USA,$525.60,525.6
9999887,09/17/2019,SO80-05149,Spectra Gutter Systems,USA,"$9,008.00",9008
9999885,09/17/2019,SO52-04326,"METAL ROOFING SYSTEMS, INC. : CONWAY - MRSI00-10",USA,"$4,166.25",4166.25
9999884,09/17/2019,SO52-04325,4M METALS,USA,"$1,176.00",1176
9999550,09/17/2019,SO51-02033,DUO-GARD INDUSTRIES INC,USA,"$6,773.42",6773.42
9999549,09/17/2019,SO54-03812,Division 7 Sheet Metal,USA,"$1,136.90",1136.9
9999326,09/17/2019,SO51-02032,John Baird,USA,"$1,568.00",1568
9999118,09/17/2019,SO54-03811,"Architectural Sheet Metal&Panels,LLC DBA Architectural Panel",USA,"$1,760.00",1760
9999097,09/17/2019,SO30-00040,Intercompany - Vincenzo USA,USA,"$40,297.64",40297.64
9998993,09/17/2019,SO51-02031,WALNUT CREEK METALS,USA,"$10,183.95",10183.95
9998050,09/17/2019,SO54-03810,Retro Custom Metals (SMI),USA,"$1,305.00",1305
9997933,09/17/2019,SO51-02030,Specialty Construction Inc,USA,"$2,770.00",2770
9997517,09/17/2019,SO54-03809,"METRO METAL SUPPLY, INC.",USA,$50.00,50
9997302,09/17/2019,SO55LM-00411,Peterson Construction,USA,"$3,840.00",3840
9997298,09/17/2019,SO54-03808,CALEBS MANAGEMENT ENT INC (EXEMPT),USA,"$2,554.00",2554
9997291,09/17/2019,SO33-00194,Mazzella Inventory Company - Customer,USA,"$13,447.82",13447.82
9995864,09/17/2019,SO54-03807,ES Services,USA,$54.25,54.25
9995855,09/17/2019,SO54-03806,Metal Direct LLC,USA,$52.00,52
9995833,09/17/2019,SO54-03805,FLATIRON STEEL,USA,$50.00,50
9995727,09/17/2019,SO55LM-00410,Action Roofing Inc,USA,$210.24,210.24
9995617,09/17/2019,SO80-05148,ABC Supply Company - Billings #388,USA,"$9,308.00",9308
9995615,09/17/2019,SO53-01849,Roofs Inc,USA,$44.00,44
9995505,09/17/2019,SO54-03804,JAGGER ROOFING,USA,$487.40,487.4
9995395,09/17/2019,SO51-02029,PMH & SON METAL ROOFING,USA,"$15,536.96",15536.96
9995288,09/17/2019,SO52-04324,"METAL ROOFING SYSTEMS, INC. : CONWAY - MRSI00-10",USA,"$1,900.00",1900
9994880,09/17/2019,SO54-03803,Formula Roofing,USA,$277.27,277.27
9994879,09/17/2019,SO80-05147,Modern Builders Supply Inc.,USA,"$7,552.00",7552
9994866,09/17/2019,SO52-04323,"METAL ROOFING SYSTEMS, INC. : CONWAY - MRSI00-10",USA,"$1,470.00",1470
9994748,09/17/2019,SO54-03802,BRIDGER STEEL INC - BELGRADE : EVANSVILLE - BSC005,USA,"$4,800.00",4800
9994646,09/17/2019,SO80-05146,Karr's Building Supply,USA,$73.40,73.4
9994538,09/17/2019,SO51-02028,BRADCO SUPPLY COMPANY,USA,$180.00,180
9994432,09/17/2019,SO52-04322,REED'S METAL MANUFACTURING INC.,USA,"$6,394.60",6394.6
9994228,09/17/2019,SO54-03801,BRIDGER STEEL INC - BELGRADE : EVANSVILLE - BSC005,USA,$476.00,476
9994025,09/17/2019,SO51-02027,WALNUT CREEK METALS,USA,"$7,056.71",7056.71
9994023,09/17/2019,SO80-05145,Fazzio's,USA,$0.00,0
9994022,09/17/2019,SO54-03800,Z-CRAFT,USA,"$2,707.75",2707.75
9993519,09/17/2019,SO53-01848,DISTINCTIVE ROOFING,USA,"$9,661.68",9661.68
9993316,09/17/2019,SO51-02026,John Baird,USA,"$3,056.85",3056.85
